"Family","Genus","species","bar_code","plot_code","X","Y","Fe","sapwood_dens","bark_thick","twig_dens","twig_bark_thick","N","NH4","C13","P","K","chlor","C_N","Nodulation","log_lf_area","log_tough","log_lflt_area","log_LTD","log_SLA","log_moist","PC1","PC2","PC3"
"Ebenaceae","Diospyros","carbonaria","A112003","A11",74,65,NA,0.62,2,0.572395741939545,0.64517133,0.015277872,0.527951,-33.70686793,0.0004317,0.00341,72.1732566102014,27.7668239143687,0,3.85791874643495,0.246860077931526,3.85791874643495,-10.2184272343181,2.32896808491353,-0.49429632181478,0.908175720359384,-0.550790215223039,0.0301507813555909
"Ebenaceae","Diospyros","carbonaria","LV109167","LV1",125.3,72.1,NA,0.59221,3.4,0.562633037,1.8912026,0.027580789,0.350228,-32.42512587,0.0003734,0.00358,84.842777545891,18.9208647535435,0,4.23478068627669,0.312374685042152,4.23478068627669,-10.2989730759723,2.23015249367552,-0.542144307023418,-0.290355645462847,0.0957011715896281,0.044825926873327
"Ebenaceae","Diospyros","carbonaria","LV109234","LV1",139.8,38.3,2.814741e-05,0.63938,5,0.552867494,1.63328262,0.014482476,0.450278,-35.30725513,0.0004029,0.0070894,86.2349320998048,33.308136398776,0,4.03768545733634,0.557709209664841,4.03768545733634,-10.2006485408679,2.02500713181619,-0.56580993209875,1.81601556330113,0.290291918439562,-0.0131764803647349
"Ebenaceae","Diospyros","carbonaria","M17116454","M1711",48,67,NA,0.6397,2,0.551,1.184,0.02247991,1,-32.40456365,0.00058,0.0037428,74.3971347863663,23.2649543090658,0,3.06494734257546,0.65232518603969,3.06494734257546,-10.2597169143518,2.14999083371445,-0.55809194956708,-0.0318221726726973,-0.665056911035365,0.303052250994835
"Ebenaceae","Diospyros","carbonaria","M17119855","M1711",0,0,NA,0.6764,5,0.545,2.1765,0.017086837,0.487662,-31.14714537,5e-04,0.0070491,70.7432743623685,28.9473967009964,0,3.95060248739562,0.591483526783445,3.95060248739562,-10.4151292747969,2.39738225495975,-0.471124256914439,0.290076945685957,0.216582416891251,-0.392856955008385
"Ebenaceae","Diospyros","carbonaria","NH200163","NH20",40,344,NA,0.7239,1,0.612,1.9065,0.014565399,0.669474,-30.77770382,0.00042,0.001266,127.245795787532,31.2303928965226,0,4.06159177575029,0.56531380905006,4.06159177575029,-9.98185829223963,1.85258502971581,-0.782196997393456,2.86862153883242,0.40149870566419,0.548809934710519
"Ebenaceae","Diospyros","carbonaria","NH200243","NH20",54,302,NA,0.7003,3,0.567,2.2445,0.025031654,0.564287,-29.86056037,0.0007308,0.0093193,64.8538797200821,20.3155523405488,0,4.25844557290253,-0.0168071183163812,4.25844557290253,-10.2490034429197,2.39643476513021,-0.659325632084435,-1.40735507133841,-0.397351365886293,0.362495558102598
"Ebenaceae","Diospyros","carbonaria","NH200248","NH20",52,308,NA,0.6233,1,0.57,1.013,0.021333776,0.549975,-32.921090338,0.00053,0.0059903,79.124155013056,22.4829393878922,0,4.25985900069967,0.18509548367668,4.25985900069967,-10.2206129785813,2.27931740767472,-0.516173230092586,-0.184104332768245,-0.163149964838600,0.612064715429254
"Ebenaceae","Diospyros","carbonaria","NH200436","NH20",84,318,NA,0.7299,2,0.553,1.5125,0.015255747,0.44046,-32.75797802,0.00034,0.0036223,55.72142316047,27.9882443323799,0,3.51054991858952,0.423086709457984,3.51054991858952,-10.2001627933032,2.21399793297049,-0.654311156774747,1.38531512698698,-0.976455352679732,0.00461765279584778
"Ebenaceae","Diospyros","carbonaria","P01860025","P018",22,48,NA,0.7846,2,0.72,1.034,0.012429433,0.372325,-35.44151889,0.00034,0.0032123,92.5220991624979,37.2578458727763,0,4.02356438016105,0.542324290825362,4.02356438016105,-10.0299217937333,1.97975001612437,-0.843970070294529,3.58003595459354,-0.968326358084248,1.13353615239752
